emotion,exercise,duration,instructions
stress,4-4 Breathing,2 Minutes,"Inhale through your nose for 4 seconds, hold your breath for 4 seconds, exhale slowly for 4 seconds, and repeat for 2 minutes."
stress,Box Breathing,5 Minutes,"Inhale for 4 seconds, hold for 4 seconds, exhale for 4 seconds, hold again for 4 seconds, then repeat."
anxiety,4-7-8 Breathing,5 Minutes,"Inhale for 4 seconds, hold your breath for 7 seconds, exhale slowly for 8 seconds. Repeat 5 times."
anxiety,5-4-3-2-1 Grounding,3 Minutes,"Notice 5 things you can see, 4 things you can touch, 3 things you can hear, 2 things you can smell, and 1 thing you can taste."
sad,Deep Belly Breathing,5 Minutes,"Place one hand on your stomach. Breathe deeply into your belly and slowly exhale. Continue for 5 minutes."
angry,Slow Counting Breath,3 Minutes,"Take a slow breath in while counting to 4, slowly breathe out while counting to 6. Repeat until you feel calmer."
lonely,Mindful Breathing,5 Minutes,"Sit comfortably and focus only on your breathing. If your mind wanders, gently bring your attention back to your breath."
confused,Calm Focus Breathing,3 Minutes,"Take slow deep breaths and focus on one thought at a time. Avoid multitasking during the exercise."
motivated,Energizing Breath,2 Minutes,"Take deep breaths while sitting upright. Visualize your goals and maintain a steady breathing rhythm."
happy,Relaxed Breathing,2 Minutes,"Enjoy slow natural breathing while appreciating the present moment."
neutral,Natural Breathing,2 Minutes,"Sit comfortably and observe your natural breathing without trying to change it."